Date,PUBG: BATTLEGROUNDS,Counter-Strike: Global Offensive,Dota 2,Cyberpunk 2077,Apex Legends,Terraria,Team Fortress 2,Grand Theft Auto V
01/07/2012,0,1642,75041,0,0,16097,62321,0
01/08/2012,0,52261,108689,0,0,8399,117917,0
01/09/2012,0,36057,118724,0,0,8503,90232,0
01/10/2012,0,20850,171860,0,0,6664,106853,0
01/11/2012,0,50533,169631,0,0,10799,80988,0
01/12/2012,0,27553,213521,0,0,9119,73695,0
01/01/2013,0,31359,260989,0,0,13303,74300,0
01/02/2013,0,35238,283870,0,0,8502,72893,0
01/03/2013,0,32166,325598,0,0,14259,72799,0
01/04/2013,0,31966,299667,0,0,11856,71706,0
01/05/2013,0,53379,325815,0,0,14305,75126,0
01/06/2013,0,33700,326160,0,0,11339,77349,0
01/07/2013,0,42149,422617,0,0,18750,72803,0
01/08/2013,0,50511,520532,0,0,8392,74504,0
01/09/2013,0,52052,566715,0,0,12057,77493,0
01/10/2013,0,53263,581615,0,0,97392,74370,0
01/11/2013,0,92279,702792,0,0,40370,79961,0
01/12/2013,0,96298,685503,0,0,27274,86393,0
01/01/2014,0,102084,673496,0,0,22962,83323,0
01/02/2014,0,119764,738682,0,0,17002,83502,0
01/03/2014,0,164495,698197,0,0,14336,82998,0
01/04/2014,0,142526,734998,0,0,11069,80730,0
01/05/2014,0,170137,843024,0,0,26328,80053,0
01/06/2014,0,164134,833145,0,0,32249,90242,0
01/07/2014,0,193613,874975,0,0,28048,76060,0
01/08/2014,0,277192,774319,0,0,14455,83414,0
01/09/2014,0,242494,864261,0,0,20721,93749,0
01/10/2014,0,260613,880655,0,0,16597,101741,0
01/11/2014,0,348018,963810,0,0,22395,104323,0
01/12/2014,0,367634,936583,0,0,27255,97449,0
01/01/2015,0,443188,961737,0,0,26016,94272,0
01/02/2015,0,455508,1262612,0,0,16831,90599,0
01/03/2015,0,595439,1213940,0,0,15502,89571,0
01/04/2015,0,568556,929677,0,0,14185,84438,360761
01/05/2015,0,677701,967674,0,0,15021,84603,215966
01/06/2015,0,610401,913997,0,0,158947,78971,85195
01/07/2015,0,541181,877264,0,0,149316,83241,60908
01/08/2015,0,819902,933942,0,0,54486,85201,50693
01/09/2015,0,725939,888728,0,0,33538,90718,46917
01/10/2015,0,732093,917306,0,0,28621,91684,73902
01/11/2015,0,786707,943635,0,0,28867,91588,77141
01/12/2015,0,823694,999452,0,0,37821,82824,84558
01/01/2016,0,667432,1067949,0,0,39425,80583,93726
01/02/2016,0,738969,1248394,0,0,26573,83544,72735
01/03/2016,0,737599,1291328,0,0,25409,83425,64633
01/04/2016,0,850485,1164041,0,0,25034,81206,65878
01/05/2016,0,668612,1075307,0,0,30112,77972,48053
01/06/2016,0,579110,1095994,0,0,30486,72453,78330
01/07/2016,0,636056,1084198,0,0,33051,72643,71778
01/08/2016,0,599095,1117519,0,0,22057,72111,63873
01/09/2016,0,638360,1064377,0,0,24473,74797,61921
01/10/2016,0,661985,1141191,0,0,23776,81153,86192
01/11/2016,0,627124,1007270,0,0,36926,77056,86759
01/12/2016,0,662460,1014671,0,0,32543,71438,126681
01/01/2017,0,814616,1007451,0,0,34214,77405,116125
01/02/2017,0,744468,1040877,0,0,27644,77381,104902
01/03/2017,67846,742356,956232,0,0,26626,74656,98798
01/04/2017,140104,709841,921318,0,0,31152,72616,96503
01/05/2017,189456,692966,972876,0,0,29192,73188,83483
01/06/2017,267194,614621,923122,0,0,30594,69895,131936
01/07/2017,481291,624785,824297,0,0,31959,66951,112074
01/08/2017,874171,595781,876395,0,0,28218,69172,121830
01/09/2017,1550463,665371,829555,0,0,27568,73411,101433
01/10/2017,2390946,639968,832550,0,0,29120,97248,84553
01/11/2017,2915723,601881,861173,0,0,29128,84022,85105
01/12/2017,3080769,598405,864939,0,0,33063,71122,170316
01/01/2018,3236027,715850,778627,0,0,34396,72845,167754
01/02/2018,2934761,686588,779299,0,0,29858,69198,94308
01/03/2018,2799269,672502,773897,0,0,29904,57366,94489
01/04/2018,2456361,523262,733214,0,0,31058,58292,89792
01/05/2018,2175704,454481,844713,0,0,30276,56049,82956
01/06/2018,1750216,420261,796886,0,0,30003,57752,118332
01/07/2018,1350463,426008,701582,0,0,31403,59658,162021
01/08/2018,1260894,454370,829281,0,0,25523,57772,123556
01/09/2018,1125229,583029,826166,0,0,25303,58152,97920
01/10/2018,1048662,565968,739643,0,0,26054,97329,81337
01/11/2018,895650,546031,826053,0,0,28050,93560,81360
01/12/2018,1109766,746548,765422,0,0,31424,116141,120693
01/01/2019,1084606,684511,874888,0,0,39437,66649,118210
01/02/2019,931754,654069,964921,0,0,34169,65290,119439
01/03/2019,931407,680071,1033925,0,0,28659,63379,126518
01/04/2019,886255,621614,971545,0,0,35231,60330,91586
01/05/2019,817595,588453,997341,0,0,34594,54127,108557
01/06/2019,745960,587724,865374,0,0,35123,57130,109164
01/07/2019,745224,578933,779160,0,0,35010,93245,197555
01/08/2019,750941,647461,826690,0,0,27917,64518,176207
01/09/2019,660864,720052,753996,0,0,26791,64640,135072
01/10/2019,637870,747937,739924,0,0,25955,73467,117002
01/11/2019,695920,758412,708517,0,0,53380,69869,138540
01/12/2019,686239,767060,685165,0,0,57927,103481,204137
01/01/2020,645414,817229,616415,0,0,49672,76738,214796
01/02/2020,606689,916996,663812,0,0,42862,78393,267360
01/03/2020,562028,1145972,743933,0,0,48542,85149,209493
01/04/2020,913075,1305714,801121,0,0,72280,88124,243284
01/05/2020,553121,1193359,793135,0,0,486918,85744,260562
01/06/2020,546359,1009467,733294,0,0,157919,79946,180302
01/07/2020,469568,857560,712610,0,0,62269,89648,134093
01/08/2020,443390,925348,666138,0,0,40187,96577,154677
01/09/2020,403693,977769,670547,0,0,33696,86576,126174
01/10/2020,381079,943876,723280,0,117193,48712,130548,128578
01/11/2020,438919,1037464,711824,0,112076,45815,101610,157355
01/12/2020,444680,1164396,697833,830387,129928,43285,146887,258539
01/01/2021,451998,1124553,694613,225670,196799,47087,111102,184941
01/02/2021,447390,1123485,651615,47115,228439,55078,133620,146438
01/03/2021,464480,1198581,648875,22890,217728,45035,113107,183227
01/04/2021,453579,1148077,705534,25322,330879,44708,118950,178142
01/05/2021,419509,1087197,672307,17885,266591,55027,123327,146011
01/06/2021,427913,929940,734277,15703,262129,49750,150037,155599
01/07/2021,413274,763523,707406,17110,330476,42378,134736,218784
01/08/2021,444355,802544,699613,21483,273617,42367,92436,214591
01/09/2021,400709,942519,666838,19706,248669,45520,100830,151408
01/10/2021,393496,864966,752482,16250,318330,63430,107528,136046
01/11/2021,341570,935593,747506,28779,242823,84258,121812,136818
01/12/2021,363839,950586,756170,30227,264287,73393,129147,173538
01/01/2022,696704,991625,786118,27587,392998,59635,129305,158823
01/02/2022,532109,995163,725851,59061,353623,57046,93238,155111
01/03/2022,535587,987993,740784,35109,370651,44948,92526,147473
01/04/2022,527433,1013237,730168,23181,411183,44767,94815,153693
01/05/2022,468207,923996,691586,24052,352659,45021,91626,138240
01/06/2022,413426,906670,699592,18516,347314,45395,138435,133299
01/07/2022,391255,928329,684842,19519,510286,50902,139034,197328
01/08/2022,395910,1039889,747231,18695,497242,41392,120426,195472
01/09/2022,448410,1100366,867484,136724,497242,71258,133570,175811
